title,description,link,provider,ranking,provider_category,category,subcategory,level,hours_to_complete,num_subtitles,subscribers,log_subscribers
Fundamentals of Visualization with Tableau,"In this first course of this specialization, you will discover what data visualization is, and how we can use it to better see and understand data. Using Tableau, we?Ä?????ll examine the fundamental concepts of data visualization and explore the Tableau interface, identifying and applying the various tools Tableau has to offer. By the end of the course you will be able to prepare and import data into Tableau and explain the relationship between data analytics and data visualization. This course is designed for the learner who has never used Tableau before, or who may need a refresher or want to explore Tableau in more depth. No prior technical or analytical background is required. The course will guide you through the steps necessary to create your first visualization from the beginning based on data context, setting the stage for you to advance to the next course in the Specialization.",https://www.coursera.org/learn/data-visualization-tableau,"University of California, Davis",112,Other university,Data Science,Data Analysis,Beginner Level,10,1,135743,11.81851867
Build Your First Android App (Project-Centered Course),What you?Ä?????ll achieve:,https://www.coursera.org/learn/android-app,CentraleSup??lec,138,Other university,Computer Science,Mobile and Web Development,Unknown Level,22,1,321028,12.67928363
Getting Started with Data Visualization in R,"Data visualization is a critical skill for anyone that routinely using quantitative data in his or her work - which is to say that data visualization is a tool that almost every worker needs today. One of the critical tools for data visualization today is the R statistical programming language. Especially in conjunction with the tidyverse software packages, R has become an extremely powerful and flexible platform for making figures, tables, and reproducible reports. However, R can be intimidating for first time users, and there are so many resources online that it can be difficult to sort through without guidance.",https://www.coursera.org/learn/jhu-getting-started-data-viz-r,Johns Hopkins University,25,QS 100 University,Data Science,Data Analysis,Beginner Level,11,1,5924,8.686767175
Master Class for Corporate Entrepreneurs,"The Master Class experience is designed to serve as the final project experience for the Corporate Entrepreneurship Specialization. Alternatively, professionals with experience in opportunity analysis, business modeling, and corporate finance are invited to complete the Master Class experience without the preliminary courses.",https://www.coursera.org/learn/corporate-entrepreneurship-project,"University of Maryland, College Park",152,Other university,Business,Entrepreneurship,Beginner Level,16,1,3329,8.110427238
Converter Control,"This course can also be taken for academic credit as ECEA 5702, part of CU Boulder?Ä?????s Master of Science in Electrical Engineering degree.",https://www.coursera.org/learn/converter-control,University of Colorado Boulder,230,Other university,Physical Science and Engineering,Electrical Engineering,Unknown Level,19,1,21984,9.998070195
Game Theory II: Advanced Applications,"Popularized by movies such as ""A Beautiful Mind"", game theory is the mathematical modeling of strategic interaction among rational (and irrational) agents.  Over four weeks of lectures, this advanced course considers how to design interactions between agents in order to achieve good social outcomes. Three main topics are covered:  social choice theory (i.e., collective decision making and voting systems), mechanism design, and auctions.",https://www.coursera.org/learn/game-theory-2,Stanford University,2,QS 100 University,Social Sciences,Economics,Advanced Level,17,1,35721,10.48349403
Cancer Prevention Web-Based Activity,"This web-based video course focuses on the importance of prevention and risk reduction in decreasing cancer occurrences. All learners will need to watch the video modules, read associated articles, and achieve a passing score of 80% on quizzes in order to complete the course. After completing the course, learners will receive a link to claim continuing medical and nursing education credit.",https://www.coursera.org/learn/prevent-cancer,University of Virginia,217,Other university,Health,Public Health,Beginner Level,4,1,4480,8.407378325
Overview of Advanced Methods of Reinforcement Learning in Finance,"In the last course of our specialization, Overview of Advanced Methods of Reinforcement Learning in Finance, we will take a deeper look into topics discussed in our third course, Reinforcement Learning in Finance.",https://www.coursera.org/learn/advanced-methods-reinforcement-learning-finance,New York University,35,QS 100 University,Computer Science,Algorithms,Advanced Level,13,1,8644,9.064620718
Data Analysis and Reporting in SAS Visual Analytics,"In this course, you learn how to use SAS Visual Analytics on SAS Viya to modify data for analysis, perform data discovery and analysis, and create interactive reports.",https://www.coursera.org/learn/data-analysis-reporting-sas-va,SAS,1500,Company,Data Science,Data Analysis,Unknown Level,12,1,10615,9.270023374
Autodesk Certified Professional: Inventor for Mechanical Design Exam Prep,Prove to potential employers that you?Ä?????re up to the task by becoming an Autodesk Certified Professional. This online course from Autodesk prepares you by offering an overview of skills that match what is covered in the Autodesk Certified Professional: Inventor for Mechanical Design exam.,https://www.coursera.org/learn/autodesk-inventor-mechanical-design,Autodesk,1500,Company,Physical Science and Engineering,Mechanical Engineering,Advanced Level,14,1,7666,8.944550246
Logistic Regression in R for Public Health,Welcome to Logistic Regression in R for Public Health!,https://www.coursera.org/learn/logistic-regression-r-public-health,Imperial College London,8,QS 100 University,Health,Public Health,Intermediate Level,12,1,8337,9.028458718
Big History: Connecting Knowledge,"We currently face unprecedented challenges on a global scale. These problems do not neatly fall into disciplines. They are complicated, complex, and connected. Join us on this epic journey of 13.8 billion years starting at the Big Bang and travelling through time all the way to the future. Discover the connections in our world, the power of collective learning, how our universe and our world has evolved from incredible simplicity to ever-increasing complexity. Experience our modern scientific origin story through Big History and discover the important links between past, current, and future events. You will find two different types of lectures. ?Ä?????Zooming In?Ä????? lectures from multiple specialists enable you to understand key concepts through the lens of different disciplines, whilst David Christian's ?Ä?????Big History Framework?Ä????? lectures provide the connective overview for a journey through eight thresholds of Big History.",https://www.coursera.org/learn/big-history,Macquarie University,214,Other university,Arts and Humanities,History,Unknown Level,29,4,86760,11.37090096
Essentials for English Speeches and Presentations  ???????????????????????????Ä???????????????????,"Students must learn essential knowledge and skills to deliver an impressive English speech or presentation for academic purposes, job hunting, and business occasions. Global perspectives and inter-cultural communication skills are taught here to facilitate most Chinese English learners.",https://www.coursera.org/learn/yingyuyanjiang,Peking University,23,QS 100 University,Personal Development,Personal Development,Unknown Level,15,2,21400,9.971146201
Stocks and Bonds,"In this course, we will apply the central concept and applications of Time Value of Money (TVM) to explore the structure and pricing of stocks and bonds at an introductory level. In this course, you will learn about bonds, different types of bonds (Zero Coupon bonds, Government bonds). You will learn about bond pricing calculations and see their direct connection to market data on bonds. You will also learn about stocks, and their pricing and valuation. You will learn about growth and dividend stocks and how to use market data.",https://www.coursera.org/learn/bonds-and-stocks,University of Michigan,21,QS 100 University,Business,Finance,Beginner Level,10,1,21927,9.995474033
Learn to Speak Korean 1,,https://www.coursera.org/learn/learn-speak-korean1,Yonsei University,85,QS 100 University,Language Learning,Other Languages,Beginner Level,32,9,324328,12.68951063
Imagining Other Earths,"Are we alone? This course introduces core concepts in astronomy, biology, and planetary science that enable the student to speculate scientifically about this profound question and invent their own solar systems.",https://www.coursera.org/learn/life-on-other-planets,Princeton University,12,QS 100 University,Physical Science and Engineering,Physics and Astronomy,Unknown Level,26,1,45588,10.7273998
Virtual Teacher Final Project,"The Final Project will be a hands-on, comprehensive project that practitioners of virtual education can implement in their profession. For this final project, learners will draft a design plan for an online learning module utilizing materials learned from the virtual teacher series. Learners will choose the subject matter, method of delivery, tools, instructional strategies, and assessments, with the goal of creating a module of online or blended instruction that meets the needs of their students. Learners do not have to create, develop or teach the online learning module they design.",https://www.coursera.org/learn/virtual-teacher-capstone,"University of California, Irvine",210,Other university,Social Sciences,Education,Beginner Level,5,1,4190,8.340456013
Introduction to Architecting Smart IoT Devices,What will you learn?,https://www.coursera.org/learn/iot-devices,EIT Digital,1500,Company,Computer Science,Computer Security and Networks,Beginner Level,17,5,18523,9.826768482
Writing Skills for Engineering Leaders,"Engineering leaders must write extensively for their jobs, and their writing needs to be professional, reader-focused, and error-free. What leaders write in particular can affect productivity and the bottom line, so the written communication that leaders create must be clear and concise. In this course, you?Ä?????ll learn essential writing skills that you can apply in your daily activities on the job as an engineering leader. You?Ä?????ll learn key principles in",https://www.coursera.org/learn/engineering-writing,Rice University,89,QS 100 University,Business,Leadership and Management,Beginner Level,16,6,12596,9.441134582
Organic Solar Cells - Theory and Practice,"The goal of the course is to give students awareness of the largest alternative form of energy and how organic / polymer solar cells can harvest this energy. The course provides an insight into the theory behind organic solar cells and describes the three main research areas within the field i.e. materials, stability and processing.",https://www.coursera.org/learn/solar-cell,Technical University of Denmark (DTU),103,QS 100 University,Physical Science and Engineering,Chemistry,Unknown Level,23,1,67855,11.12512835
America's Written Constitution,"An introduction to the main themes of the American Constitution?Ä?????popular sovereignty, separation of powers, federalism, and rights.",https://www.coursera.org/learn/written-constitution,Yale University,17,QS 100 University,Social Sciences,Governance and Society,Unknown Level,20,1,25504,10.14659058
Digital Product Management: Modern Fundamentals,"Not so long ago, the job of product manager was about assessing market data, creating requirements, and managing the hand-off to sales/marketing. Maybe you?Ä?????d talk to a customer somewhere in there and they?Ä?????d tell you what features they wanted. But companies that manage product that way are dying.",https://www.coursera.org/learn/uva-darden-digital-product-management,University of Virginia,217,Other university,Business,Leadership and Management,Beginner Level,11,2,130732,11.78090471
Introduction to Ancient Egypt and Its Civilization,"Colossal pyramids, imposing temples, golden treasures, enigmatic hieroglyphs, powerful pharaohs, strange gods, and mysterious mummies are features of Ancient Egyptian culture that have fascinated people over the millennia.  The Bible refers to its gods, rulers, and pyramids. Neighboring cultures in the ancient Near East and Mediterranean wrote about its god-like kings and its seemingly endless supply of gold.  The Greeks and Romans describe aspects of Egypt's culture and history.",https://www.coursera.org/learn/introancientegypt,University of Pennsylvania,16,QS 100 University,Arts and Humanities,History,Intermediate Level,8,5,102467,11.53729607
Medical Applications of Particle Accelerators (NPAP MOOC),Hello and welcome to this course!,https://www.coursera.org/learn/medical-applications-particle-accelerators,Lund University,97,QS 100 University,Health,Research,Beginner Level,8,2,4637,8.441822884
Entrepreneurship II: Preparing for Launch,"This course builds on previous concepts and outlines strategies and tactics for forming, financing, and launching a new venture. Topics to be addressed will include building the new venture?Ä?????s initial management team, identifying and reaching out to early customers, developing financial plans, raising startup and initial growth financing, and preparing for and managing rapid growth.",https://www.coursera.org/learn/entrepreneurship-2,University of Illinois at Urbana-Champaign,82,QS 100 University,Business,Entrepreneurship,Unknown Level,13,5,21509,9.976226731
Identifying Security Vulnerabilities,"This course will help you build a foundation of some of the fundamental concepts in secure programming. We will learn about the concepts of threat modeling and cryptography and you'll be able to start to create threat models, and think critically about the threat models created by other people. We'll learn the basics of applying cryptography, such as encryption and secure hashing. We'll learn how attackers can exploit application vulnerabilities through the improper handling user-controlled data. We'll gain a fundamental understanding of injection problems in web applications, including the three most common types of injection problems: SQL injection, cross-site scripting, and command injection.",https://www.coursera.org/learn/identifying-security-vulnerabilities,"University of California, Davis",112,Other university,Computer Science,Computer Security and Networks,Intermediate Level,13,1,8396,9.035510681
App Design and Development for iOS,"In App Design and Development for iOS, the third course of the iOS App Development with Swift specialization, you will be developing foundational programming skills to support graphical element presentation and data manipulation from basic functions through to advanced processing. You will continue to build your skill set to use and apply core graphics, touch handling and gestures, animations and transitions, alerts and actions as well as advanced algorithms, threading and more. By the end of this course you will be able to develop a more advanced, fully functioning app.",https://www.coursera.org/learn/ios-app-design-development,University of Toronto,25,QS 100 University,Computer Science,Mobile and Web Development,Unknown Level,9,5,23979,10.08493373
Mathematical Thinking in Computer Science,"Mathematical thinking is crucial in all areas of computer science: algorithms, bioinformatics, computer graphics, data science, machine learning, etc. In this course, we will learn the most important tools used in discrete mathematics: induction, recursion, logic, invariants, examples, optimality. We will use these tools to answer typical programming questions like: How can we be certain a solution exists? Am I sure my program computes the optimal answer? Do each of these objects meet the given requirements?",https://www.coursera.org/learn/what-is-a-proof,University of California San Diego,54,QS 100 University,Computer Science,Algorithms,Beginner Level,37,3,109386,11.60263819
Framework for Data Collection and Analysis,"This course will provide you with an overview over existing data products and a good understanding of the data collection landscape. With the help of various examples you will learn how to identify which data sources likely matches your research question, how to turn your research question into measurable pieces, and how to think about an analysis plan. Furthermore this course will provide you with a general framework that allows you to not only understand each step required for a successful data collection and analysis, but also help you to identify errors associated with different data sources. You will learn some metrics to quantify each potential error, and thus you will have tools at hand to describe the quality of a data source. Finally we will introduce different large scale data collection efforts done by private industry and government agencies, and review the learned concepts through these examples. This course is suitable for beginners as well as those that know about one particular data source, but not others, and are looking for a general framework to evaluate data products.",https://www.coursera.org/learn/data-collection-framework,"University of Maryland, College Park",152,Other university,Data Science,Data Analysis,Intermediate Level,9,5,23358,10.05869482
Customer-Centric IT Strategy,"Now more than ever, corporations are investing heavily in IT. The quality of these investments affect the daily work of millions, yet it?Ä?????s not uncommon to see industry surveys where the failure rates for IT projects is over 50%. It?Ä?????s possible to do better and it?Ä?????s possible to do so consistently. In this two-week course, we?Ä?????ll step through major challenges within corporate IT and how to address them with the disciplined use of design thinking, Lean Startup, and agile as a team framework.",https://www.coursera.org/learn/uva-darden-customer-centric-it-strategy,University of Virginia,217,Other university,Business,Business Essentials,Beginner Level,3,5,15887,9.673256444
Introduction to Programming and Animation with Alice,This course is an introductory programming course that combines programming,https://www.coursera.org/learn/introtoalice,Duke University,42,QS 100 University,Computer Science,Software Development,Beginner Level,47,1,11756,9.372119028
The Teacher's Social and Emotional Learning,"Social and emotional learning, or SEL, programs have flourished in schools during the last decade.  While this growth has been impressive, inadequate attention has been paid to teachers?Ä????? social and emotional learning.  In this course Dan Liston and Randy Testa introduce you to various rationales for why teacher SEL is needed as well as examine and reflect on various emotions in teaching and learning.",https://www.coursera.org/learn/teachers-social-emotional-learning,University of Colorado Boulder,230,Other university,Social Sciences,Education,Advanced Level,13,1,11999,9.392578592
Recommender Systems Capstone,This capstone project course for the Recommender Systems Specialization brings together everything you've learned about recommender systems algorithms and evaluation into a comprehensive recommender analysis and design project.  You will be given a case study to complete where you have to select and justify the design of a recommender system through analysis of recommender goals and algorithm performance.,https://www.coursera.org/learn/recommeder-systems-capstone,University of Minnesota,177,Other university,Data Science,Machine Learning,Unknown Level,3,1,1691,7.433075349
The Changing Arctic,What will I learn?,https://www.coursera.org/learn/changing-arctic,National Research Tomsk State University,401,Other university,Health,Basic Science,Unknown Level,9,2,6476,8.775858315
Astronomy: Exploring Time and Space,This course is designed for anyone who is interested in learning more about modern astronomy. We will help you get up to date on the most recent astronomical discoveries while also providing support at an introductory level for those who have no background in science.,https://www.coursera.org/learn/astro,University of Arizona,273,Other university,Physical Science and Engineering,Physics and Astronomy,Beginner Level,43,1,179196,12.09623546
Humanitarian communication : Addressing key challenges,Learn how to address the main challenges of communication in humanitarian settings and how to implement a communication plan in the midst of humanitarian action.,https://www.coursera.org/learn/humanitarian-communication,University of Geneva,106,QS 100 University,Social Sciences,Governance and Society,Intermediate Level,9,5,11748,9.371438292
Computational Geometry,"This course represents an introduction to computational geometry ?Ä????? a branch of algorithm theory that aims at solving problems about geometric objects. Its application areas include computer graphics, computer-aided design and geographic information systems, robotics, and many others. You will learn to apply to this end various algorithmic approaches, and asses their strong and weak points in a particular context, thus gaining an ability to choose the most appropriate method for a concrete problem.",https://www.coursera.org/learn/computational-geometry,Saint Petersburg State University,225,Other university,Computer Science,Algorithms,Intermediate Level,19,1,4775,8.471149253
The Fall and Rise of Jerusalem,The destruction of the First Temple in Jerusalem and the Babylonian Exile were a great catastrophe in the history of the Jewish Nation.,https://www.coursera.org/learn/jerusalem,Tel Aviv University,230,Other university,Arts and Humanities,History,Unknown Level,14,6,18424,9.821409442
Teach English Now! Theories of Second Language Acquisition,"In this course learners are introduced to second or foreign language theories and practices for teaching and assessing listening, speaking, and pronunciation.  Learners will also be introduced to basic studies in second language acquisition and their pedagogical implications.  Teachers will be invited to recognize the importance of grounding their own teaching philosophy through an examination of purpose, content, and technique.",https://www.coursera.org/learn/language-theories,Arizona State University,220,Other university,Social Sciences,Education,Unknown Level,17,2,61697,11.02999059
The Role of Global Capital Markets,"In this course, participants will learn about how different markets around the world can interact to create value for, and effectively manage the risk of, corporations and their stakeholders. This is part of a Specialization in corporate finance created in partnership between the University of Melbourne and Bank of New York Mellon (BNY Mellon).",https://www.coursera.org/learn/capital-markets,The University of Melbourne,41,QS 100 University,Business,Finance,Unknown Level,17,5,20303,9.918523937
Recommendation Systems with TensorFlow on GCP,"In this course, you'll apply your knowledge of classification models and embeddings to build a ML pipeline that functions as a recommendation engine.",https://www.coursera.org/learn/recommendation-models-gcp,Google Cloud,9,Company,Data Science,Machine Learning,Advanced Level,13,5,13936,9.542230699
"Epidemics, Pandemics and Outbreaks","What can we do to prevent outbreaks of infectious diseases from becoming epidemics or pandemic? In this course, you?Ä?????ll learn the facts about infectious diseases and medical responses. We'll focus on the public health laws and policies that provide the framework for effective prevention, like quarantine laws, drug development policies, and bioterrorism and biodefense.",https://www.coursera.org/learn/epidemic-pandemic-outbreak,University of Pittsburgh,156,Other university,Social Sciences,Governance and Society,Unknown Level,12,2,38094,10.54781207
Influence,"What does it mean to be influential? How does one persuade others to pursue a unified goal? How does one leverage power? In this course, you?Ä?????ll learn how to develop influence and to become more effective in achieving your organizational goals. Professor Cade Massey of the Wharton School has designed this course to help you understand the framework of power and influence and the dynamics of effective networks, and shows you how to develop your skills of persuasion and leverage. By the end of this course, you?Ä?????ll know your own strengths and how to use them to get what you need, how to gain power and influence, and how to leverage relationships and alliances to achieve your goals in both business and in life.",https://www.coursera.org/learn/wharton-influence,University of Pennsylvania,16,QS 100 University,Business,Leadership and Management,Beginner Level,9,1,18485,9.824714871
Data Manipulation at Scale: Systems and Algorithms,"Data analysis has replaced data acquisition as the bottleneck to evidence-based decision making --- we are drowning in it.  Extracting knowledge from large, heterogeneous, and noisy datasets requires not only powerful computing resources, but the programming abstractions to use them effectively.  The abstractions that emerged in the last decade blend ideas from parallel databases, distributed systems, and programming languages to create a new class of scalable data analytics platforms that form the foundation for data science at realistic scales.",https://www.coursera.org/learn/data-manipulation,University of Washington,72,QS 100 University,Data Science,Data Analysis,Unknown Level,20,5,57653,10.96219756
Teach English Now! Capstone Project 1,"In the final Capstone Project, you will apply the skills you learned by observing teachers at work (a total of six hours of observation).  You will build on the concepts learned from the previous courses to analyze the lessons.  You will also submit your teaching philosophy, a five-day lesson plan, and a teaching tip. You will deliver a portion of your lesson, submitting a 6-10 minute video for peer review.  If you have completed Teach English Now! Part 1 and Teach English Now! Part 2, you will submit your work for expert review to receive your ASU 150-hour TESOL Certificate from ASU, in addition to your Coursera certificates.",https://www.coursera.org/learn/teaching-english-capstone,Arizona State University,220,Other university,Social Sciences,Education,Unknown Level,33,2,20008,9.903887473
Culminating Project in Health Informatics,"This capstone course in the Health Informatics Specialization will allow learners to create a comprehensive plan for an informatics intervention of their choosing, and that will demonstrate to current or future employers the new skills obtained through the completion of this series of five courses in Health Informatics.",https://www.coursera.org/learn/culminating-project-course-in-health-informatics,Johns Hopkins University,25,QS 100 University,Health,Health Informatics,Unknown Level,14,1,3347,8.115819701
Foundations of Teaching for Learning: Developing Relationships,"The Foundations of Teaching for Learning programme is for anyone who is teaching, or who would like to teach, in any subject and any context - be it at school, at home or in the workplace. With dynamic lessons taught by established and respected professionals from across the Commonwealth, this eight course programme will see you develop and strengthen your skills in teaching, professionalism, assessment, and more. As you carry on through the programme, you will find yourself strengthening not only your skills, but your connection with colleagues across the globe. A professional development opportunity not to be missed.",https://www.coursera.org/learn/teacher-relationships,Commonwealth Education Trust,1500,Company,Social Sciences,Education,Unknown Level,12,5,10307,9.240578555
Effective Sales ?Ä????? An Overview,Welcome to Strategic Sales Management specialization.,https://www.coursera.org/learn/effective-sales-overview,Funda????o Instituto de Administra????o,1500,Other university,Business,Business Strategy,Intermediate Level,21,6,12311,9.418248451
Get Organized: How to be a Together Teacher,"This course is designed for classroom teachers who juggle time-sensitive tasks and often-exhausting teaching schedules. With an eye toward long-term sustainability, The Together Teacher examines the purpose for planning ahead, provides tools for tracking time commitments, deadlines and tasks, and helps teachers develop a personal organization system that interacts with their day-by-day practices.",https://www.coursera.org/learn/together-teacher,Relay Graduate School of Education,1500,Company,Social Sciences,Education,Unknown Level,8,9,82511,11.3206869
Music for Wellness,"You love music. You listen to music all the time. Maybe you sing, play an instrument, or compose music. You don?Ä?????t need to have musical talent to use music to enhance your well being, and even your health.",https://www.coursera.org/learn/music-for-wellness,Berklee College of Music,2,Other university,Arts and Humanities,Music and Art,Beginner Level,11,1,25940,10.16354146
VLSI CAD Part II: Layout,You should complete the VLSI CAD Part I: Logic course before beginning this course.,https://www.coursera.org/learn/vlsi-cad-layout,University of Illinois at Urbana-Champaign,82,QS 100 University,Computer Science,Algorithms,Intermediate Level,24,1,15733,9.663515696
"Leadership, Motivation and Organizational Control","This course gives you access to the essential skills and knowledge that you will need as a supervisor to lead and motivate employees, and to implement and monitor effective organizational controls. At its conclusion, you will be able to:",https://www.coursera.org/learn/leadership-motivation-organizational-control,Institute of Certified Professional Managers,1500,Company,Business,Leadership and Management,Beginner Level,9,1,4773,8.470730317
