,link,title,provider,n_subscribers,description
17,https://www.coursera.org/learn/securing-integrating-components-app,Securing and Integrating Components of your Application,Google Cloud,"18,357","In this course, application developers learn how to design and develop cloud-native applications that seamlessly integrate managed services from Google Cloud. Through a combination of presentations, demos, and hands-on labs, participants learn how to apply best practices for application development and use the appropriate Google Cloud storage services for object storage, relational data, caching, and analytics. Learners can choose to complete labs in their favorite language: Node.js, Java, or Python."
18,https://www.coursera.org/learn/researcher-management-leadership-training,Researcher Management and Leadership Training,University of Colorado System,"7,360","This course is for early career researchers and mentors who believe that modern scientific careers require management skills and want to be research leaders. This curriculum gives you skills to effectively implement funded projects, thereby enhancing your career success. Research leaders take on a number of new roles, rights, and responsibilities--as scientific leaders, financial administrators, managers, and mentors. In this course, we explain how to optimize the people, teams, projects, and finances for which you are responsible."
19,https://www.coursera.org/learn/accounting-finance,Accounting and Finance for IT professionals,Indian School of Business,"18,548","This course presents an introduction to the basics of financial accounting and finance for IT professionals. The first part of the course will focus on understanding the most important financial statements, namely, the balance sheet, the income statement, and the statement of cash flows. We will then focus on how we can understand the financial health and performance of the company by examining a number of important financial ratios that are derived from the financial statements of the company. The second part of the course will focus on the basics of finance. This includes the concept of time value of money, discounting cash flows, and capital budgeting. The course will also introduce the idea of real options, how they affect a project’s NPV, and their impact of the decision to accept/reject a project. Lectures on concepts will be supplemented with numerical examples."
20,https://www.coursera.org/learn/everyday-chinese-medicine-2,Everyday Chinese Medicine 2,The Chinese University of Hong Kong,"4,908","This course, Everyday Chinese Medicine II offered by the Chinese University of Hong Kong, aims to show to the public, as well as the healthcare professionals about the basic principles of Chinese medicine. Our primary goal is to empower healthcare choices by promoting awareness and practical application on Chinese medicine diagnostic and therapeutic approaches, and to facilitate interprofessional education between Chinese and conventional clinicians."
21,https://www.coursera.org/learn/rigid-body-dynamics,Rigid Body Dynamics,Korea Advanced Institute of Science and Technology(KAIST),"2,415","This course teaches dynamics, one of the basic mechanics subjects of Mechanical Engineering. Students would be able to organize their knowledge about force and motion, work-energy, impulse-momentum in view of Newton's 2nd law and its integration over time and displacement. The Engineering Dynamics consists of two parts: particle dynamics and rigid body dynamics. This is the second part of the dynamics: rigid body dynamics"
22,https://www.coursera.org/learn/game-theory-1,Game Theory,Stanford University,"356,171","Popularized by movies such as ""A Beautiful Mind,"" game theory is the mathematical modeling of strategic interaction among rational (and irrational) agents. Beyond what we call `games' in common language, such as chess, poker, soccer, etc., it includes the modeling of conflict among nations, political campaigns, competition among firms, and trading behavior in markets such as the NYSE. How could you begin to model keyword auctions, and peer to peer file-sharing networks, without accounting for the incentives of the people using them? The course will provide the basics: representing games and strategies, the extensive form (which computer scientists call game trees), Bayesian games (modeling things like auctions), repeated and stochastic games, and more. We'll include a variety of examples including classic games and a few applications."
23,https://www.coursera.org/learn/strategy-sustainability,Strategy and Sustainability,IESE Business School,"18,393","Business and environmental sustainability are not natural bedfellows. Business is about making money. Sustainability is about protecting the planet. Business is measured in months and quarters. Sustainability often requires significant short term costs to secure a sometimes uncertain long-term benefit. To some activists, all executives are exploitative, selfish one percenters. To some executives, all activists are irresponsible, unyielding extremists."
24,https://www.coursera.org/learn/cryptography-boolean-functions,Cryptography: Boolean functions and related problems,Novosibirsk State University,"2,255","The course invites you to learn more about cryptography; you'll learn some important math which stands behind the ciphers, and defines how resistant the particular cipher will be to different types of attacks."
25,https://www.coursera.org/learn/improving-statistical-questions,Improving Your Statistical Questions,Eindhoven University of Technology,"5,653","This course aims to help you to ask better statistical questions when performing empirical research. We will discuss how to design informative studies, both when your predictions are correct, as when your predictions are wrong. We will question norms, and reflect on how we can improve research practices to ask more interesting questions. In practical hands on assignments you will learn techniques and tools that can be immediately implemented in your own research, such as thinking about the smallest effect size you are interested in, justifying your sample size, evaluate findings in the literature while keeping publication bias into account, performing a meta-analysis, and making your analyses computationally reproducible."
26,https://www.coursera.org/learn/ux-research-at-scale,"UX Research at Scale: Surveys, Analytics, Online Testing",University of Michigan,"12,707","This UX course will provide an overview of survey methodology from the perspective of UX research. UX surveys typically focus on uncovering user needs, connecting needs to user characteristics, and gaining insight into user attitudes towards systems they use. In this course, learners will learn the basics of UX survey research and conduct a survey of their own design!"
27,https://www.coursera.org/learn/operations-strategy,Scaling Operations: Linking Strategy and Execution,Northwestern University,"16,234","Over the past several decades, operations strategy has played an increasingly important role in business’ success. In this course, we will equip you with concepts and tools to build operations in a way that not only supports your competitive strategy, but also allows you to create new opportunities in the market place."
28,https://www.coursera.org/learn/american-english-pronunciation-music,The Music of American English Pronunciation,"University of California, Irvine","7,880","In this third course of The Pronunciation of American English specialization, you will learn and practice the ""music"" of American English, the features of pronunciation such as stress, rhythm, and intonation that will help improve your listening comprehension as well as your ability to communicate more clearly. Each week you will receive practical advice from successful English learners and practice an effective technique called shadowing to improve your pronunciation of the musical features of English.  You will also have opportunities to record yourself and to respond to the recordings of other learners."
29,https://www.coursera.org/learn/everyday-excel-part-1,"Everyday Excel, Part 1",University of Colorado Boulder,"145,346","""Everyday Excel, Part 1"" is aimed at learners who are seeking to learn Excel from the ground up.  No experience with Excel is necessary.  While this course is meant for beginners of Excel, advanced users will undoubtedly pick up new skills and tools."
30,https://www.coursera.org/learn/analytical-solutions-common-healthcare-problems,Analytical Solutions to Common Healthcare Problems,"University of California, Davis","2,902","In this course, we’re going to go over analytical solutions to common healthcare problems. I will review these business problems and you’ll build out various data structures to organize your data. We’ll then explore ways to group data and categorize medical codes into analytical categories. You will then be able to extract, transform, and load data into data structures required for solving medical problems and be able to also harmonize data from multiple sources. Finally, you will create a data dictionary to communicate the source and value of data. Creating these artifacts of data processes is a key skill when working with healthcare data."
31,https://www.coursera.org/learn/modern-postmodern-2,na,na,na,na
32,https://www.coursera.org/learn/strengthening-your-widening-network,Strengthening Your Widening Network,National University of Singapore,"7,266","In this course, you will learn strategies not only on how to communicate effectively but also how to strengthen your relationships with co-workers and other stakeholders from diverse cultural backgrounds, both inside and beyond the organisation. In particular, ""Strengthening your widening network"" aims to equip you with a workplace discourse that facilitates familiarity with practices in the working environment and to help you appreciate the complexities inherent in the organisational structure and hierarchy."
33,https://www.coursera.org/learn/resilience-uncertainty,na,na,na,na
34,https://www.coursera.org/learn/merkle-cryptocurrencies,The Merkle Tree and Cryptocurrencies,"University of California, Irvine","3,017","Apply what you have learned about cryptography and hashing in previous blockchain to the Merkle Tree, which underlies the process of adding new blocks — representing new transactions — to the blockchain. This course also introduces the concepts of proof of work and proof of stake, which play an important part in ensuring the integrity of the blockchain."
35,https://www.coursera.org/learn/ux-interface-design-embedded-systems,UX and Interface Design for Embedded Systems,University of Colorado Boulder,"2,297","This course can also be taken for academic credit as ECEA 5346, part of CU Boulder’s Master of Science in Electrical Engineering degree."
36,https://www.coursera.org/learn/scandinavian-movies-tv,Scandinavian Film and Television,University of Copenhagen,"20,067","In many ways Scandinavian film and television is a global cultural brand, connected with and exporting some of the cultural and social values connected to a liberal and progressive welfare society. This course deals with the social, institutional and cultural background of film and television in Scandinavia and in a broader European and global context."
37,https://www.coursera.org/learn/deep-neural-network,"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",DeepLearning.AI,"418,681","In the second course of the Deep Learning Specialization, you will open the deep learning black box to understand the processes that drive performance and generate good results systematically."
38,https://www.coursera.org/learn/everyday-excel-part-2,"Everyday Excel, Part 2",University of Colorado Boulder,"18,904","""Everyday Excel, Part 2"" is a continuation of the popular ""Everyday Excel, Part 1"".  Building on concepts learned in the first course, you will continue to expand your knowledge of applications in Excel.  This course is aimed at intermediate users, but even advanced users will pick up new skills and tools in Excel.  By the end of this course, you will have the skills and tools to take on the project-based ""Everyday Excel, Part 3 (Projects)""."
39,https://www.coursera.org/learn/investment-returns-long-run,Securing Investment Returns in the Long Run,University of Geneva,"27,112","In this course, you will learn about the famous dichotomy between active and passive investing, how to appropriately measure and analyze investment performance and what the future trends in the investment management industry are."
40,https://www.coursera.org/learn/bugs-101,Bugs 101: Insect-Human Interactions,University of Alberta,"32,636","Of all the animals on earth, which are the strongest for their size? What about the fastest? Who were the first animals to evolve flight? Insects take all of these titles and more! As the most abundant animals on the planet, insects and other arthropods affect our lives in so many ways. From beneficial interactions like pollination and biological pest control, to the transmission of life threatening diseases; this course will teach you about the big ways that these little arthropods impact our lives."
41,https://www.coursera.org/learn/business-structure,Structure: Building the Frame for Business Growth,Michigan State University,"9,145",Just like when building a house the foundation for your business provides the framework for success. A business built on weak structure will struggle to succeed. We'll address some of the most pressing issues that you as a business owner must face while constructing the proper framework for your business.
42,https://www.coursera.org/learn/crypto-info-theory,Cryptography and Information Theory,University of Colorado System,"14,582",Welcome to Cryptography and Information Theory!
43,https://www.coursera.org/learn/guitar-scales-chord-progressions,Guitar Scales and Chord Progressions,Berklee College of Music,"39,625","You’ve got the guitar basics down: You can strum your guitar and play a few of your favorite songs, but you’re ready to take the tunes to the next level. In Guitar Scales and Chord Progressions you’ll expand your knowledge of scales, chord fingerings, and common chord progressions. You’ll also learn important skills for soloing, creating melodies, and adding depth and dimension to your guitar playing."
44,https://www.coursera.org/learn/ubiquitouslearning,Ubiquitous Learning and Instructional Technologies,University of Illinois at Urbana-Champaign,"5,737","This course will analyze currently available technologies for learning. Areas addressed include: learning management systems, intelligent tutors, computer adaptive testing, gamification, simulations, learning in and through social media and peer interaction, universal design for learning, differentiated instruction systems, big data and learning analytics, attention monitoring, and affect-aware systems. Participants will explore the processes for selection and implementation of suitable technologies, the design of electronic learning resources, design and application of  digital media in teaching and learning, familiarization with web usability and accessibility, and critical analysis of the benefits of technologies in education."
45,https://www.coursera.org/learn/richard-schechners-introduction-to-performance-studies,Richard Schechner's Introduction to Performance Studies,New York University,"3,229","Performance Studies: An Introduction explores the wide world of performance--from theatre, dance, and music to ritual, play, political campaigns, social media, and the performances of everyday life. Performance studies also ranges across cultures--Asia, Africa, the Caribbean, Europe, the Americas. And it spans historical periods from the art of the paleolithic caves to YouTube and the avantgarde. This course is devised by Richard Schechner, one of the pioneers of performance studies, in dialogue with more than a dozen expert scholars and artists. Performance Studies: An Introduction puts students in dialogue with the most important ideas, approaches, theories, and questions of this dynamic, new academic field."
46,https://www.coursera.org/learn/modern-world-2,"The Modern World, Part Two: Global History since 1910",University of Virginia,"63,766","This is a survey of modern history from a global perspective.  Part Two begins early in the twentieth century, as older ways of doing things and habits of thought give way.  What follows is an era of cataclysmic struggles over what ideas and institutions will take their place.  The course concludes in the present day, as communities everywhere are transitioning into a new era of world history.  Again we work hard to grasp what is happening and ask:  Why?  Again we are drawn to pivotal choices made at key moments by individuals and communities."
47,https://www.coursera.org/learn/everyday-parenting,Everyday Parenting: The ABCs of Child Rearing,Yale University,"144,995","Everyday Parenting gives you access to a toolkit of behavior-change techniques that will make your typical day in the home easier as you develop the behaviors you would like to see in your child. The lessons provide step-by-step instructions and demonstrations to improve your course of action with both children and adolescents.  Among many techniques, you will learn how even simple modifications to tone of voice and phrasing can lead to more compliance.  The course will also shed light on many parenting misconceptions and ineffective strategies that are routinely used."
48,https://www.coursera.org/learn/resilience-in-children,"Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives",University of Minnesota,"27,477","How do children overcome hazardous experiences to succeed in life? What can be done to protect young people at risk from trauma, war, disasters, and other adversities? Learn about the importance of fostering resilience in children at risk."
49,https://www.coursera.org/learn/guitar,Guitar for Beginners,Berklee College of Music,"272,637","Grasp the essentials needed to begin playing acoustic or electric guitar. You'll learn an easy approach to get you playing quickly, through a combination of exploring the instrument, performance technique, and basic music theory."
50,https://www.coursera.org/learn/sas-sql,Structured Query Language (SQL) using SAS,SAS,"6,650",Course Description
51,https://www.coursera.org/learn/secure-networked-system-with-firewall-ids,Secure Networked System with Firewall and IDS,University of Colorado System,"10,176","In this MOOC, we will focus on learning how network systems are secured using firewalls and IDS.  This will include understanding the basic components of network security, constructing a dual-firewall DMZ, and defining security policies to implement and enforce these rules.  Building upon these lessons we will go in-depth on the popular Linux firewall.  Finally we will learn about Network IDS and Host IDS, including a deep dive into Snort."
52,https://www.coursera.org/learn/browser-based-models-tensorflow,Browser-based Models with TensorFlow.js,DeepLearning.AI,"31,472",Bringing a machine learning model into the real world involves a lot more than just modeling. This Specialization will teach you how to navigate various deployment scenarios and use data more effectively to train your model.
53,https://www.coursera.org/learn/911-attack,Understanding 9/11: Why 9/11 Happened & How Terrorism Affects Our World Today,Duke University,"9,867","This course will explore the forces that led to the 9/11 attacks and the policies the United States adopted in response. We will examine the phenomenon of modern terrorism, the development of the al Qai'da ideology, and the process by which individuals radicalize towards violence."
54,https://www.coursera.org/learn/schizophrenia,Schizophrenia,Wesleyan University,"42,374","The main goal of this class is to gain an introductory exposure to the nature of the psychiatric disorder known as schizophrenia as revealed by the scientific method. We will discuss a broad range of findings from the scientific investigation of biological and psychological factors related to schizophrenia and its treatment. More specifically we will learn about: (1)  key symptomatic features through discussion and enactments of interviews with actors portraying many of the cardinal features of the illness, (2) what brain imaging studies (MRI and fMRI) and neurochemistry have taught us about the neuroscience of the disorder, (3) scientific psychological data and theories concerning cognition, emotion and behavior in schizophrenia, and (4) current, evidence-based somatic and psychosocial approaches to treatment. A brief historical overview of the recent emergence of the psychiatric category of schizophrenia will be presented as well."
55,https://www.coursera.org/learn/marketingplan,The Marketing Plan,IE Business School,"26,051","Create your own Marketing Plan for your  own product or service idea.  In this course you will learn how to produce arguably the most important marketing tool for any business.  Rather than simply learning the stages of The Marketing Plan, you will be asked each week to complete a peer graded assignment which will help you complete a simplified version of the plan.  You will be required either to map the four crucial stages for your own product or service idea or use the Nissan Leaf case study (attached in the additional readings) in order to produce a professional example."
56,https://www.coursera.org/learn/evidence-based-toxicology,Evidence-based Toxicology,Johns Hopkins University,"5,773","Welcome to the Evidence-based Toxicology (EBT) course. In medicine and healthcare, evidence-based medicine has revolutionized the way that information is evaluated transparently and objectively. Over the past ten years, a movement in North America and Europe has attempted to translate this revolution to the field of toxicology."
57,https://www.coursera.org/learn/crypto-hashing,Cryptography and Hashing Overview,"University of California, Irvine","4,326","Continue learning about blockchain technology by diving into the nature of ownership and how the blockchain is one way to approach decentralized transaction handling. This course also demystifies cryptography and hashing, which are critical for authenticating users and guaranteeing transaction privacy."
58,https://www.coursera.org/learn/microbiome,Gut Check: Exploring Your Microbiome,University of Colorado Boulder,"79,682","Imagine if there were an organ in your body that weighed as much as your brain, that affected your health, your weight, and even your behavior. Wouldn’t you want to know more about it? There is such an organ — the collection of microbes in and on your body, your human microbiome."
59,https://www.coursera.org/learn/machine-learning-projects,Structuring Machine Learning Projects,DeepLearning.AI,"351,794","In the third course of the Deep Learning Specialization, you will learn how to build a successful machine learning project and get to practice decision-making as a machine learning project leader."
60,https://www.coursera.org/learn/resilient-teaching-through-times-of-crisis,Resilient Teaching Through Times of Crisis and Change,University of Michigan,"4,729","Resilient teaching is the ability to facilitate learning experiences that are designed to be adaptable to fluctuating conditions and disruptions. This teaching ability can be seen as an outcome of a design approach that attends to the relationship between learning goals and activities, and the environments they are situated in. Resilient teaching approaches take into account how a dynamic learning context may require new forms of interactions between teachers, students, content, and tools. Additionally, they necessitate the capacity to rethink the design of learning experiences based on a nuanced understanding of context."
61,https://www.coursera.org/learn/guitar-performance,Guitar Performance Techniques,Berklee College of Music,"10,143","Your favorite guitarist didn't become your favorite guitarist without the support of other musicians. The most important skill for a guitarist to learn is the exact same skill that was so important in kindergarten: playing well with others. Guitar Performance Techniques gives guitarists the essential and practical skills to play well with others in any ensemble situation. This course begins with daily warm-up techniques that help you prepare for rehearsals, jam sessions, and stage performances. From there, you'll explore chords, time accuracy, tone production, ear training, and the many aspects of jamming with other musicians. Upon successful completion of this course, you will be able to confidently interact with other musicians in a group setting and bring your A-game to any jam session you join."
62,https://www.coursera.org/learn/cancer-metastasis,Understanding Cancer Metastasis,Johns Hopkins University,"46,290","Over 500,000 people in the United States and over 8 million people worldwide are dying from cancer every year. As people live longer, the incidence of cancer is rising worldwide, and the disease is expected to strike over 20 million people annually by 2030."
63,https://www.coursera.org/learn/scholarly-communication,Scholarly Communication,Moscow Institute of Physics and Technology,"17,577","Scholarly Communication is a concise but comprehensive course on how to write research papers in English. The course will help the candidates gain a better understanding of the rhetorical conventions of English and the common challenges the candidates may face as an academic writer. The course provides instruction, exercises, structure, and deadlines needed to create a publishable paper."
64,https://www.coursera.org/learn/schedule-projects,Budgeting and Scheduling Projects,"University of California, Irvine","139,184",A good project schedule helps all team members’ work together to meet project objectives. A project budget with realistic cost constraints is also an essential bedrock of any project. In this course you’ll learn to plan and stick to time and cost constraints in order to ensure the success of your projects.
65,https://www.coursera.org/learn/evolution-today,Evolution Today,Universiteit Leiden,"8,245","In this course you will learn how evolution works. You will develop an understanding of evolutionary processes and their formative power. You will see how evolution has shaped biodiversity, and continuously influences our daily life. Evolution impacts human endeavors as varied as medicine, agriculture, psychology, economy, and culture. It is the major unifying principle for biology and a fundamental natural law. In five weeks we will make evolution accessible for you and help you to recognize evolutionary processes around you, in nature as well as in society. We make use of the unique collection of Naturalis, the natural history museum in Leiden, but also take you to the field. Using classical and up-to-date examples, we will show you how scientists address evolutionary questions. In the last module, we will have a look at the future. How will humans evolve? And how do we influence our own evolution and that of other organisms?"
66,https://www.coursera.org/learn/3d-game-prop-production,Current Gen 3D Game Prop Production,Michigan State University,"3,149","In this course you will learn to create a photo-real game prop using modern game art production techniques. You will gather reference, generate a base model, create a high polygon model, bake details onto a low poly model, and then texture and present a final portfolio piece. This course is aimed at students who have some knowledge in 3d and game art and would like to learn more advanced techniques employed in the creation of modern game assets. We will be using Maya, Zbrush, Marmoset, and Substance Painter extensively throughout the course. When you are finished you will have your own model based of of a real-world prop suitable for use in modern game engines."
67,https://www.coursera.org/learn/guided-tour-machine-learning-finance,Guided Tour of Machine Learning in Finance,New York University,"26,606","This course aims at providing an introductory and broad overview of the field of ML with the focus on applications on Finance. Supervised Machine Learning methods are used in the capstone project to predict bank closures. Simultaneously, while this course can be taken as a separate course, it serves as a preview of topics that are covered in more details in subsequent modules of the specialization Machine Learning and Reinforcement Learning in Finance."
68,https://www.coursera.org/learn/structuring-values-modern-china,Structuring Values in Modern China,The Chinese University of Hong Kong,"2,700","This sequence of four courses will propose a multi-disciplinary approach to the study of Chinese cultural history conceived of as a succession of modes of rationality (philosophical, bureaucratic, and economic). The focus will be on the moments of paradigm shift from one mode of rationality to another. For each of these moments, cultural facts and artifacts—thought, literature, ritual—will be examined in relationship to changing social, political, and economic systems."
69,https://www.coursera.org/learn/revolutionary-ideas-utility-justice-equality-freedom,"Revolutionary Ideas: Utility, Justice, Equality, Freedom",Rutgers the State University of New Jersey,"16,927",What is the purpose of government?  Why should we have a State?  What kind of State should we have?
70,https://www.coursera.org/learn/brilliant-passionate-you,"Brilliant, Passionate You",University of Michigan,"11,292","This course is an interdisciplinary look at how we can make each day the best day of our lives by examining the question, “How can you be your most brilliant, passionate self?” You will be joined on this journey by our animated host, Lewis!"
71,https://www.coursera.org/learn/understanding-china-history-part-1,"Understanding China, 1700-2000: A Data Analytic Approach, Part 1",The Hong Kong University of Science and Technology,"8,093","The purpose of this course is to summarize new directions in Chinese history and social science produced by the creation and analysis of big historical datasets based on newly opened Chinese archival holdings, and to organize this knowledge in a framework that encourages learning about China in comparative perspective."
72,https://www.coursera.org/learn/revolutionary-ideas-borders-elections-constitutions-prisons,"Revolutionary Ideas: Borders, Elections, Constitutions, Prisons",Rutgers the State University of New Jersey,"6,855",What is the purpose of government?  Why should we have a State?  What kind of State should we have?
73,https://www.coursera.org/learn/people-management,The Manager's Toolkit: A Practical Guide to Managing People at Work,University of London,"81,168",The aim of this course is to give you a practical guide to managing people at work. It does not matter whether you are a first time manager in a shop or a middle manager in an office environment; the same skills apply to every work place. In the course you will engage with some HR theories and then see how they translate into every day working life.
74,https://www.coursera.org/learn/teaching-evolution,Evolution: A Course for Educators,American Museum of Natural History,"24,174","How are all of the species living on Earth today related? How does understanding evolutionary science contribute to our well-being? In this course, participants will learn about evolutionary relationships, population genetics, and natural and artificial selection. Participants will explore evolutionary science and learn how to integrate it into their classrooms."
75,https://www.coursera.org/learn/curanderismo-traditional-healing,"Curanderismo: Traditional Healing of the Mind, Energy & Spirit",University of New Mexico,"8,417","As the third of four courses on Curanderismo, the art of Hispanic/Latino traditional medicine, this course focuses specifically on traditional healing of mind, energy and spirit. As an educational and cultural platform, this course will share a number of traditional body therapies. Trained traditional healers will share their knowledge of cleansings from different cultures such as spiritual, energetic and Tonalli Cleansing."
76,https://www.coursera.org/learn/modern-world,"The Modern World, Part One: Global History from 1760 to 1910",University of Virginia,"167,907",This is a survey of modern history from a global perspective. Part One begins with the political and economic revolutions of the late 1700s and tracks the transformation of the world during the 1800s.  Part One concludes as these bewildering changes seem to be running beyond the capacity of older institutions to handle them.  Throughout the course we try to grasp what is happening and ask:  Why?  And the answers often turn on very human choices.
77,https://www.coursera.org/learn/study-designs-epidemiology,Study Designs in Epidemiology,Imperial College London,"7,745",Choosing an appropriate study design is a critical decision that can largely determine whether your study will successfully answer your research question. A quick look at the contents page of a biomedical journal or even at the health news section of a news website is enough to tell you that there are many different ways to conduct epidemiological research.
78,https://www.coursera.org/learn/seo-fundamentals,Google SEO Fundamentals,"University of California, Davis","98,867","Gain an understanding of search engine algorithms and how they affect organic search results and websites. Building on this knowledge, you’ll learn the key elements for creating an effective SEO strategy, including how to select keywords and perform keyword research; consumer psychology and search behavior; and how to conduct on-page SEO analysis to identify opportunities to improve a website’s search optimization."
79,https://www.coursera.org/learn/design-language,The Language of Design: Form and Meaning,California Institute of the Arts,"53,948","In this course, critique is defined as a detailed, objective analysis of a work of graphic design and its effectiveness. Critique is an integral part of the making process for designers: it’s not just how we determine if a work of design is or is not successful, it’s how we move our work forward. Critique is also where other voices and opinions can be brought into the design process."
